ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,Long,Lat
San Antonio,PH0307109,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.01878528776,0.01404749798,167.26133526000,120.11629049,14.76238258
San Felipe,PH0307110,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.52049403956,0.00961366645,114.36705987300,120.11818383,15.07391681
San Marcelino,PH0307111,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.88555721720,0.03581022243,426.11362452600,120.29590247,15.02027039
San Narciso,PH0307112,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.37171795615,0.00612357143,72.86900750590,120.11772741,15.01040083
Santa Cruz,PH0307113,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.30084791348,0.03875399538,459.55011009300,120.03734936,15.75822992
Santa Cruz,PH0307113,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.30084791348,0.03875399538,459.55011009300,119.86476225,15.81201159
Santa Cruz,PH0307113,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.30084791348,0.03875399538,459.55011009300,119.79453955,15.79560605
Santa Cruz,PH0307113,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.30084791348,0.03875399538,459.55011009300,119.82508681,15.73620424
Subic,PH0307114,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.25668435972,0.02078615418,247.50006699500,120.27205472,14.87693423
Subic,PH0307114,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.25668435972,0.02078615418,247.50006699500,120.23170986,14.85391799
Baler (Capital),PH0307701,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.67602330267,0.00839840314,99.59587524520,121.57118623,15.74505247
Casiguran,PH0307702,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.03880949971,0.03551193174,420.11503969400,122.05573180,16.24084948
Casiguran,PH0307702,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.03880949971,0.03551193174,420.11503969400,122.23627149,16.31135999
Casiguran,PH0307702,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.03880949971,0.03551193174,420.11503969400,122.20910757,16.26524408
Casiguran,PH0307702,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.03880949971,0.03551193174,420.11503969400,122.20814915,16.26500971
Casiguran,PH0307702,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.03880949971,0.03551193174,420.11503969400,122.13155761,16.25686948
Dilasag,PH0307703,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.12231152078,0.04191562833,495.48013420200,122.09680315,16.39968037
Dinalungan,PH0307704,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.83430585540,0.02757773140,326.33961071400,121.87984133,16.18634708
Dingalan,PH0307705,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.58759019693,0.02981495342,354.36770599200,121.37595164,15.26896455
Dipaculao,PH0307706,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.20886001144,0.03382679757,400.65934114100,121.62103835,15.99711931
Maria Aurora,PH0307707,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.75631492283,0.02829773129,335.53577666800,121.40329770,15.77254700
San Luis,PH0307708,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.29574176523,0.05042334941,598.34608554000,121.45541937,15.61184167
San Luis,PH0307708,Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.29574176523,0.05042334941,598.34608554000,121.59372088,15.63130098
