ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,Long,Lat
Pulilan,PH0301418,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.33870155651,0.00358219692,42.64445362280,120.83784862,14.92180320
San Ildefonso,PH0301419,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.72998257648,0.01400157792,166.57582365200,120.99815119,15.06230552
City of San Jose del Monte,PH0301420,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.60331790904,0.00905579910,107.85680258600,121.08358557,14.81595726
San Miguel,PH0301421,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.84668716797,0.01950632956,231.94039833300,121.01139540,15.17952670
San Rafael,PH0301422,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.68868518639,0.00854205988,101.65635513000,120.96673723,14.99330211
Santa Maria,PH0301423,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40928148463,0.00664358457,79.11849410570,120.98923488,14.83906256
Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,Dona Remedios Trinidad,,1.43548132654,0.08333930203,991.44562568100,121.19539870,15.07005606
Aliaga,PH0304901,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46086536177,0.00802338263,95.25709102260,120.86497827,15.50553472
Bongabon,PH0304902,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.70150180640,0.01816953902,215.56084649300,121.22773479,15.65777628
Cabanatuan City,PH0304903,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.75599569491,0.01593768874,189.23081949900,120.99015478,15.49249105
Cabiao,PH0304904,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.68003648867,0.00944474282,112.27411242000,120.84465995,15.23497980
Carranglan,PH0304905,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.06950790976,0.06201654931,734.48602235200,121.02896142,16.01537291
Cuyapo,PH0304906,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.58823863925,0.01504267375,178.35494198800,120.70452600,15.78555094
Gabaldon (Bitulok & Sabani),PH0304907,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,Bitulok & Sabani,0.75482504023,0.03095338645,367.50488861200,121.28581916,15.49806889
City of Gapan,PH0304908,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.74774814833,0.01448573776,172.15854005800,121.00749579,15.28533183
General Mamerto Natividad,PH0304909,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.60982137852,0.00913392725,108.39831869500,121.05375833,15.59053598
General Tinio (Papaya),PH0304910,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,Papaya,1.16280512910,0.04739423966,563.15599515100,121.21154371,15.32718506
Guimba,PH0304911,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.88323737195,0.01815185620,215.35314545000,120.75939303,15.65573899
Jaen,PH0304912,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.51959011002,0.00825769804,98.09617823060,120.87546937,15.38148242
Laur,PH0304913,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.59336538830,0.01316315060,156.25265694000,121.18183150,15.54068238
Licab,PH0304914,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.39971221699,0.00542982988,64.45737432530,120.76947721,15.53156321
Llanera,PH0304915,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.64815969386,0.00843867490,100.10891363000,121.01158659,15.67101423
Lupao,PH0304916,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.45351843950,0.00985022561,116.75187155700,120.90701991,15.85356533
Science City of Muñoz,PH0304917,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,Science City of Munoz,,0.68394799837,0.01091478879,129.44463442200,120.89680388,15.73348556
Nampicuan,PH0304918,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.29299206949,0.00392372115,46.53721486890,120.66393483,15.71739705
Palayan City (Capital),PH0304919,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.86660677466,0.01105236558,131.22593489300,121.11030237,15.49343273
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.15584274,15.82340650
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.13956197,15.89718016
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.13735527,15.89582046
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.09867844,15.89329086
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.10684506,15.87644676
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.13824491,15.84836780
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.11159232,15.83092993
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.16271653,15.81975876
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.16757715,15.81726962
Pantabangan,PH0304920,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,2.52335678713,0.03540686775,419.72824773400,121.19850981,15.81106907
Peñaranda,PH0304921,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,Penaranda,,0.54623441736,0.00531012390,63.08240338630,121.02413451,15.37632348
Quezon,PH0304922,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.39463504345,0.00540118971,64.10673115940,120.82911446,15.56666214
Rizal,PH0304923,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.63060906184,0.01133533862,134.46284430500,121.11257083,15.68584456
San Antonio,PH0304924,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.73909131061,0.01525517560,181.26723853300,120.80464328,15.32775418
San Isidro,PH0304925,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.38203754974,0.00402073046,47.78832275620,120.91005055,15.27103253
San Jose City,PH0304926,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.78578763902,0.01618906816,191.94711166200,120.99956103,15.78571761
San Leonardo,PH0304927,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.38399568522,0.00427383895,50.77563037410,120.94756144,15.35979752
Santa Rosa,PH0304928,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.81710335956,0.00901986884,107.12473145900,120.96653722,15.43234972
Santo Domingo,PH0304929,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.60861601734,0.00726317278,86.18388549860,120.87873269,15.62215717
Talavera,PH0304930,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.80424354058,0.01110452655,131.76573988000,120.90155210,15.69146010
Talavera,PH0304930,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.80424354058,0.01110452655,131.76573988000,120.94471112,15.61099703
Talugtug,PH0304931,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47315254574,0.00901440688,106.89170144300,120.81020677,15.76318715
Zaragoza,PH0304932,Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.45196206056,0.00652262780,77.46157263760,120.79237962,15.44498640
Angeles City,PH0305401,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61086315863,0.01017793792,121.02898747700,120.54966524,15.16521265
Apalit,PH0305402,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40664485340,0.00483859835,57.59177388480,120.78715722,14.95842614
Arayat,PH0305403,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.67378692509,0.01573736712,187.12540931500,120.76405051,15.17962260
Bacolor,PH0305404,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.55896171593,0.00702346036,83.56743015460,120.62920397,15.03666276
Candaba,PH0305405,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.92337601674,0.01748778036,208.01135354200,120.87408575,15.10374915
Floridablanca,PH0305406,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61908170922,0.01133201667,134.86841322000,120.48743120,14.97755008
Guagua,PH0305407,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43478974543,0.00376778086,44.84060617490,120.59720761,14.98627320
Lubao,PH0305408,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.69793529957,0.01386032098,165.01810104400,120.56112283,14.89878906
Mabalacat City,PH0305409,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.66219891266,0.00820527009,97.54802749080,120.55510959,15.21702971
Macabebe,PH0305410,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.95999985530,0.00757865857,90.24105970830,120.66670055,14.87149366
Magalang,PH0305411,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47417256308,0.00815274697,96.91597843520,120.67508828,15.23402754
Masantol,PH0305412,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43363848303,0.00567683321,67.60267527240,120.68402957,14.84813948
Mexico,PH0305413,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.62001452278,0.01045582943,124.36961400900,120.69721346,15.10204390
Minalin,PH0305414,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.49089952414,0.00437043233,52.01910388340,120.69319944,14.95964621
Porac,PH0305415,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.89088109694,0.02497950398,297.12993489200,120.47297153,15.09862827
City of San Fernando (Capital),PH0305416,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.45443248119,0.00589313104,70.10845164890,120.65831118,15.06768136
San Luis,PH0305417,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.50089627748,0.00403939825,48.06274522980,120.81250997,15.03367289
San Simon,PH0305418,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.41954641072,0.00463431614,55.14942143250,120.79002112,15.00170316
Santa Ana,PH0305419,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.31375719292,0.00314844937,37.44934459180,120.75668378,15.10623594
